x1;x2;x3;y
2,0766;6,9347;7,4134;1
4,2377;6,3221;2,2972;0
2,5805;-1,0971;1,7308;0
-4,8721;5,4401;-0,162;0
1,7751;-0,9606;-0,2285;0
6,3028;6,4991;7,5673;2
4,8116;6,3981;4,0396;1
3,2518;0,9127;-0,1219;0
7,0167;6,8178;5,6553;1
2,843;8,0291;2,5654;2
8,1666;7,8019;7,3507;2
2,1773;1,2757;5,9445;0
0,5124;7,2175;4,9373;1
4,5104;2,3321;8,0268;1
4,6654;4,4307;4,3418;1
6,3614;3,4452;2,7967;0
5,2714;4,0241;3,4428;0
3,1741;6,8734;8,166;2
8,6862;4,5597;3,9626;1
6,9686;1,2106;7,3938;2
4,4872;1,8285;4,3318;1
8,045;6,8799;6,1825;2
7,3136;1,3176;4,64;0
3,7881;4,3428;5,8421;1
7,4235;11,3563;8,0209;2
2,1305;2,5355;1,3721;0
4,3806;5,8771;9,6732;1
7,2433;2,0285;4,7411;0
0,0718;6,8436;4,8109;2
6,0142;3,8403;2,4813;1
7,8515;10,4934;8,0449;1
5,4093;4,8772;2,8831;0
5,5732;5,5231;5,7463;2
3,084;1,871;5,1602;0
8,363;7,5174;6,9276;1
10,8999;6,5462;5,5639;2
3,4203;0,364;8,0922;0
6,967;3,6478;5,8178;1
4,374;2,8047;6,8494;2
3,0272;-0,5859;1,9375;0
1,8779;4,5875;7,2937;0
5,7844;8,1356;5,5392;2
5,8483;4,0312;1,4437;0
5,4234;3,5141;3,8726;1
2,6022;7,6206;1,2145;0
8,3271;0,6446;8,0842;1
9,8132;2,1792;4,9469;2
6,0853;3,6863;3,333;0
9,422;7,1579;6,8854;2
2,4745;-1,5665;1,5666;0
5,9383;8,3198;10,6462;2
5,7987;6,6457;7,268;2
3,075;4,6928;4,6256;1
6,0018;2,1186;3,2017;2
4,7156;-1,392;7,2111;0
5,7828;8,7046;12,9936;2
6,8755;3,2736;10,375;2
5,76;4,4548;9,3559;1
0,9925;5,0804;5,7348;0
7,7257;12,0321;3,7415;2
8,7522;3,124;2,9561;1
5,6527;7,7794;2,3693;1
4,6192;5,1913;5,7702;1
0,7619;4,886;1,0415;0
6,3486;5,7976;6,8302;2
2,8481;6,0688;7,4878;2
7,1755;5,3457;0,627;1
7,3279;2,9578;5,8101;1
