x1;x2;x3;x4;y
0,375;1,567;1,71;2,307;0
1,394;-0,906;1,288;-0,134;0
0,888;0,076;1,202;1,775;0
0,907;0,718;1,396;0,341;0
2,34;0,923;1,882;1,009;0
-0,072;1,799;1,044;-1,118;0
1,939;0,616;1,157;1,681;0
1,59;-0,5;1,638;1,128;0
1,782;0,219;1,819;1,463;0
1,597;0,29;1,373;0,76;0
1,038;0,619;0,523;0,484;0
0,39;0,207;1,528;0,372;0
1,646;2,291;-0,008;0,93;0
0,25;0,537;1,269;0,805;0
1,091;1,006;0,826;1,337;0
0,506;0,912;1,147;0,872;0
0,961;2,223;0,507;1,09;0
0,83;1,092;0,837;1,572;0
2,203;1,242;1,042;1,784;0
0,726;2,523;2,151;1,613;0
0,682;2,676;0,87;0,461;0
0,38;0,531;0,835;0,552;0
1,324;0,077;1,695;0,511;0
-0,141;0,363;1,732;1,422;0
1,444;-0,284;0,654;1,372;0
0,339;1,79;0,658;0,474;0
-0,864;1,479;0,861;1,405;0
0,667;1,737;1,876;0,706;0
0,299;1,448;2,052;0,872;0
1,38;0,478;-0,087;1,657;0
0,337;-0,245;1,073;2,434;0
1,234;-0,416;1,699;1,262;0
1,278;1,426;0,757;0,584;0
1,525;-0,057;-0,159;0,795;0
0,683;2,42;0,187;-0,004;0
0,43;2,489;1,329;-0,423;0
1,338;2,337;0,915;-0,568;0
0,29;0,62;0,261;0,514;0
0,004;0,489;0,846;2,273;0
1,523;0,905;0,871;1,681;0
-0,369;1,03;1,655;1,615;0
1,301;1,29;0,37;1,29;0
0,819;2,483;1,756;0,984;0
0,72;2,556;1,589;1,225;0
1,772;0,456;1,319;0,717;0
0,868;1,855;1,933;1,794;0
1,256;0,929;0,799;0,341;0
1,771;1,184;2,494;1,762;0
0,546;1,341;1,831;1,352;0
1,468;0,567;1,099;0,566;0
-0,149;-0,029;2,758;1,587;0
0,022;1,923;1,782;0,95;0
0,651;2,387;1,685;1,984;0
1,03;0,021;0,786;0,964;0
0,433;1,189;0,634;1,424;0
1,848;0,534;1,412;1,38;0
0,727;1,839;1,254;1,361;0
1,657;0,588;-0,001;1,591;0
2,355;1,205;1,07;1,96;0
1,329;1,35;0,253;0,915;0
2,61;-0,468;0,842;0,769;0
1,542;0,662;0,201;2,019;0
1,425;1,422;0,533;0,053;0
1,09;1,389;1,885;1,627;0
1,69;1,184;0,188;1,599;0
1,425;0,721;1,921;1,727;0
0,624;0,364;0,489;0,743;0
0,488;1,686;1,293;0,597;0
0,511;0,063;0,535;-0,094;0
0,044;0,036;1,012;1,364;0
1,381;1,421;-0,958;0,586;0
0,196;0,245;0,609;0,557;0
