x1;x2;x3;y
-0,45;2,554;1,843;0
1,378;1,255;1,681;0
2,499;1,665;1,086;0
1,304;0,418;0,227;0
1,101;3,051;2,099;0
-0,561;1,423;0,854;0
1,917;0,688;1,728;0
0,412;1,348;0,212;0
1,468;1,109;-0,193;0
0,977;0,28;0,426;0
1,596;0,651;0,962;0
-0,105;1,303;0,216;0
0,101;1,313;1,895;0
0,801;0,885;1,276;0
1,485;1,172;1,138;0
-0,593;0,631;0,739;0
2,494;0,777;1,175;0
-0,062;1,817;0,01;0
2,01;0,88;1,678;0
0,205;1,473;-0,387;0
0,747;0,752;1,22;0
1,722;0,379;1,917;0
0,291;0,408;-0,909;0
1,63;2,483;-0,597;0
2,585;0,011;1,352;0
-0,624;0,054;1,154;0
0,447;0,621;1,127;0
1,155;1,965;1,398;0
1,227;0,742;0,5;0
1,258;0,305;2,389;0
0,577;2,608;0,631;0
-0,201;1,326;1,296;0
0,443;0,883;1,103;0
2,399;1,387;0,467;0
1,584;0,902;2,07;0
3,032;0,652;2,235;0
-0,373;1,322;1,562;0
1,766;1,15;1,681;0
1,063;2,479;2,049;0
0,253;2,57;0,564;0
1,11;0,944;-0,077;0
1,656;1,751;0,334;0
1,952;1,54;1,154;0
1,6;-0,986;1,382;0
1,0;-0,463;1,161;0
0,874;1,596;1,862;0
-0,229;1,908;1,286;0
1,55;-0,147;-1,183;0
0,974;0,116;0,313;0
1,547;-0,068;1,043;0
1,493;1,819;1,379;0
0,846;0,902;0,158;0
1,516;-1,131;-0,228;0
0,546;2,458;0,332;0
1,09;0,923;1,006;0
0,758;1,269;0,599;0
0,592;0,394;0,372;0
0,21;0,99;1,767;0
1,231;1,754;0,572;0
2,145;0,996;0,337;0
0,623;0,905;0,824;0
1,9;0,118;0,952;0
0,09;1,687;0,995;0
1,404;0,9;-0,445;0
-0,627;1,255;-0,08;0
0,135;0,866;0,26;0
0,134;0,747;2,546;0
1,778;0,35;2,2;0
1,794;0,146;2,102;0
2,203;0,554;2,435;0
-0,086;1,099;0,282;0
0,772;0,637;-0,714;0
2,397;2,112;1,416;0
0,933;2,208;1,243;0
2,036;1,212;2,047;0
-0,733;1,029;-0,482;0
0,013;0,312;1,593;0
-0,427;1,288;1,999;0
